park_name,fur_color,activities,interaction,latitude,longitude
Fort Tryon Park,Gray,['Foraging'],Indifferent,40.85941,-73.933936
Fort Tryon Park,Gray,['Foraging'],Indifferent,40.859436,-73.933937
Fort Tryon Park,Gray,"['Eating', 'Digging something']",Indifferent,40.859416,-73.933894
Fort Tryon Park,Gray,['Running'],Indifferent,40.859418,-73.933895
Fort Tryon Park,Gray,"['Running', 'Eating']",Indifferent,40.859493,-73.93359
Fort Tryon Park,Gray,['Climbing'],Indifferent,40.860825,-73.932871
Fort Tryon Park,Gray,['Foraging'],Indifferent,40.860225,-73.933143
Fort Tryon Park,Black,['Climbing'],Runs From,40.859965,-73.933412
Fort Tryon Park,Gray,['Foraging'],Indifferent,40.859892,-73.933326
Fort Tryon Park,Gray,"['Eating', 'Digging']",Indifferent,40.859636,-73.933717
Fort Tryon Park,Gray,"['Eating', 'Digging']",Indifferent,40.859576,-73.933738
Fort Tryon Park,Gray,['Running'],Runs From,40.859989,-73.934544
J. Hood Wright Park,Gray,['Running'],Indifferent,40.845749,-73.9407
J. Hood Wright Park,Gray,['Foraging'],Indifferent,40.845875,-73.940808
J. Hood Wright Park,Gray,['Foraging'],Unknown,40.845875,-73.940808
J. Hood Wright Park,Gray,['Running'],Indifferent,40.846088,-73.940613
J. Hood Wright Park,Gray,['Running'],Runs From,40.846088,-73.940613
J. Hood Wright Park,Gray,['Foraging'],Indifferent,40.846088,-73.940613
J. Hood Wright Park,Gray,[],Runs From,40.846222,-73.94094
J. Hood Wright Park,Gray,"['Foraging', 'Nesting/gathering leaves']",Indifferent,40.846222,-73.94094
J. Hood Wright Park,Gray,['Chasing'],Indifferent,40.846197,-73.941026
J. Hood Wright Park,Gray,['Running'],Indifferent,40.846185,-73.940613
J. Hood Wright Park,Gray,['Eating'],Runs From,40.846271,-73.940579
J. Hood Wright Park,Gray,['Climbing'],Indifferent,40.846332,-73.940369
J. Hood Wright Park,Gray,['Sleeping'],Indifferent,40.846332,-73.940369
J. Hood Wright Park,Gray,['Running'],Indifferent,40.846332,-73.940369
J. Hood Wright Park,Gray,['Running'],Indifferent,40.846458,-73.94103
